material,insulation,temp_C,size_awg,ampacity_A
Cu,THHN,75,#3,100
Cu,THHN,75,#2,115
Cu,THHN,75,#1,130
Cu,THHN,75,1/0,150
Cu,THHN,75,2/0,175
Cu,THHN,75,3/0,200
Cu,THHN,75,4/0,230
Cu,THHN,75,250,255
Cu,THHN,75,300,285
Cu,THHN,75,350,310
Cu,THHN,75,400,335
Cu,THHN,75,500,380
Al,XHHW-2,75,1/0,120
Al,XHHW-2,75,2/0,135
Al,XHHW-2,75,3/0,155
Al,XHHW-2,75,4/0,180
Al,XHHW-2,75,250,205
Al,XHHW-2,75,300,230
Al,XHHW-2,75,350,250
Al,XHHW-2,75,400,270
Al,XHHW-2,75,500,310
Al,XHHW-2,75,600,340
Al,XHHW-2,90,1/0,135
Al,XHHW-2,90,2/0,150
Al,XHHW-2,90,3/0,175
Al,XHHW-2,90,4/0,205
Al,XHHW-2,90,250,230
Al,XHHW-2,90,300,255
Al,XHHW-2,90,350,280
Al,XHHW-2,90,400,305
Al,XHHW-2,90,500,350
Al,XHHW-2,90,600,385
Cu,THHN,90,#3,115
Cu,THHN,90,#2,130
Cu,THHN,90,#1,145
Cu,THHN,90,1/0,170
Cu,THHN,90,2/0,195
Cu,THHN,90,3/0,225
Cu,THHN,90,4/0,260
Cu,THHN,90,250,290
Cu,THHN,90,300,320
Cu,THHN,90,350,350
Cu,THHN,90,400,380
Cu,THHN,90,500,430
